0x100,1x99,2x98,3x97,4x96,5x95,6x94,7x93,8x92,9x91,10x90,11x89,12x88,13x87,14x86,15x85,16x84,17x83,18x82,19x81,20x80,21x79,22x78,23x77,24x76,25x75,26x74,27x73,28x72,29x71,30x70,31x69,32x68,33x67,34x66,35x65,36x64,37x63,38x62,39x61,40x60,41x59,42x58,43x57,44x56,45x55,46x54,47x53,48x52,49x51,50x50,51x49,52x48,53x47,54x46,55x45,56x44,57x43,58x42,59x41,60x40,61x39,62x38,63x37,64x36,65x35,66x34,67x33,68x32,69x31,70x30,71x29,72x28,73x27,74x26,75x25,76x24,77x23,78x22,79x21,80x20,81x19,82x18,83x17,84x16,85x15,86x14,87x13,88x12,89x11,90x10,91x9,92x8,93x7,94x6,95x5,96x4,97x3,98x2,99x1,100x0
4.38,3.34,4.62,4.44,4.38,4.42,3.96,4.78,4.019,4.34,3.78,4.34,4.74,4.4,4.44,4.32,4.059,3.98,4.34,3.96,4.08,4.0,4.12,4.72,4.7,4.12,4.66,4.34,4.64,4.7,3.96,4.32,4.72,4.42,4.68,4.019,4.38,4.04,4.12,4.48,4.08,4.08,3.74,4.32,4.16,4.32,4.3,4.72,4.42,3.84,4.04,4.34,4.04,4.3,4.48,4.78,4.38,3.82,4.98,4.44,4.36,4.38,4.7,4.3,4.14,4.42,4.1,4.46,4.28,4.64,4.08,4.62,4.42,4.68,3.8,4.66,3.96,3.7,4.4,4.64,3.74,4.36,4.32,4.66,4.6,4.04,4.42,4.1,4.64,4.04,3.78,4.04,4.78,4.019,4.08,4.6,4.68,3.96,4.4,4.38,4.6
4.42,4.3,4.059,4.34,4.7,4.66,4.4,4.04,4.3,4.08,4.34,4.72,4.78,4.0,4.64,3.76,3.76,4.74,4.019,4.46,4.74,4.46,3.74,4.3,4.059,4.4,4.78,4.059,4.44,4.32,3.78,4.32,3.44,4.24,4.4,4.28,4.68,4.68,4.34,4.4,4.019,4.68,4.12,4.62,4.3,4.4,4.34,3.7,3.78,4.62,4.1,3.98,4.42,4.96,4.04,4.4,4.32,4.38,4.32,4.059,4.94,4.28,4.04,4.62,4.18,4.08,4.08,3.74,4.64,4.0,4.36,3.72,4.68,4.38,4.48,4.3,4.14,4.38,4.059,4.4,3.76,4.7,4.36,3.7,4.42,3.98,4.72,4.0,4.12,3.98,4.14,4.36,4.48,4.64,3.72,4.059,4.68,4.4,3.44,4.44,4.7
4.28,4.4,4.44,4.42,4.66,4.16,4.34,4.12,4.36,4.42,4.46,4.36,4.1,4.36,4.98,4.08,4.019,4.44,3.44,4.44,4.0,3.72,4.059,3.18,4.08,4.1,4.059,4.38,4.7,4.059,4.32,4.059,4.38,4.1,4.38,4.12,3.72,4.38,4.32,4.36,4.66,4.36,4.66,4.04,3.98,4.4,4.74,4.28,4.64,4.44,4.4,4.68,4.019,4.44,4.68,4.44,4.059,4.44,4.0,4.08,4.019,4.1,4.38,4.28,3.74,4.059,4.38,3.72,3.74,4.3,4.019,4.42,4.059,4.1,4.38,4.46,3.96,4.42,4.3,4.42,3.96,4.72,4.059,4.1,4.059,4.38,4.42,4.38,4.28,4.1,4.04,4.74,3.64,4.08,4.019,3.76,4.72,3.96,4.36,4.68,4.32
4.08,4.059,4.26,4.4,4.32,4.7,4.019,4.4,3.7,4.48,4.059,4.1,4.16,4.0,4.44,4.08,4.08,4.64,3.44,4.08,4.7,3.82,4.4,4.1,5.02,4.42,4.059,4.1,4.72,4.78,4.4,4.64,4.08,3.76,4.34,4.34,4.34,4.6,4.4,3.7,5.04,4.28,4.08,4.3,4.68,3.42,4.4,3.72,4.34,4.68,4.0,4.72,4.36,4.08,4.38,4.42,4.64,4.32,4.44,5.04,4.08,4.36,4.62,4.64,4.74,4.12,4.38,4.58,4.3,4.0,3.8,4.1,5.36,5.0,4.019,3.9,4.42,4.08,4.46,4.28,4.46,4.66,3.72,4.7,3.74,4.1,4.42,3.84,3.74,4.74,4.38,4.1,4.76,3.38,5.06,4.0,4.42,5.08,4.04,3.8,4.38
3.8,4.66,3.74,4.7,4.04,4.36,4.04,3.8,4.019,3.52,4.32,4.14,4.34,4.42,4.34,4.4,4.42,4.68,4.46,4.66,4.64,4.3,4.58,4.38,4.12,3.8,4.34,4.46,3.76,4.32,4.66,4.36,3.76,4.7,4.0,4.36,4.36,4.36,4.62,4.74,4.36,4.72,4.08,4.14,4.28,4.66,5.02,4.36,4.059,3.46,4.36,4.4,3.32,3.74,4.38,4.72,4.66,4.4,4.68,4.36,4.059,3.72,4.68,4.019,4.46,4.4,3.74,4.12,4.72,4.4,4.44,4.36,4.26,4.34,4.059,4.34,4.9,4.6,4.12,4.04,4.46,4.38,4.26,4.42,4.9,4.42,4.019,4.14,4.68,4.44,4.059,4.74,4.38,4.019,5.1,4.38,4.4,4.4,4.12,4.08,4.44
4.3,4.74,4.36,4.44,4.28,4.44,4.34,4.68,4.42,3.82,4.08,4.44,4.019,4.66,4.74,4.72,4.4,4.1,4.64,3.38,4.32,4.1,4.28,3.8,4.64,4.72,4.4,4.46,4.34,4.46,4.12,3.64,4.3,4.34,4.98,4.16,4.36,4.4,4.38,5.0,3.78,4.3,4.38,4.58,4.38,4.04,4.059,3.7,4.74,4.74,3.78,4.38,4.38,4.3,3.5,4.38,4.7,4.0,4.34,4.32,4.38,4.36,4.1,4.14,3.76,4.1,4.3,4.04,4.84,3.9,4.059,3.4,4.04,4.28,4.42,4.92,4.08,4.38,4.66,3.8,4.019,4.34,4.08,4.08,3.76,3.72,4.56,4.72,4.12,4.32,3.74,4.34,4.44,4.12,4.08,4.38,4.4,4.76,4.68,3.74,5.2
4.34,4.019,4.4,4.26,5.32,4.019,4.14,3.74,4.04,4.14,3.46,4.42,4.44,4.32,4.42,4.48,4.64,4.26,3.74,3.72,4.48,3.98,4.48,4.44,4.08,3.76,4.1,3.4,4.08,4.059,3.72,4.76,4.08,4.48,4.26,3.72,4.38,4.66,3.98,4.08,4.26,3.48,4.78,4.38,4.38,4.12,4.38,4.74,4.34,4.1,4.64,4.36,4.62,4.38,4.68,4.42,3.46,4.059,4.42,3.72,4.42,4.62,4.42,4.38,4.4,4.76,4.42,4.38,4.059,4.72,4.36,4.1,4.38,4.08,5.06,4.34,4.1,4.0,4.08,4.42,4.36,4.98,4.4,4.68,4.42,4.059,4.42,4.38,4.72,4.68,4.36,4.3,4.04,4.0,4.46,3.72,4.4,4.059,4.38,4.68,3.82
4.059,4.74,4.64,4.34,3.72,3.74,4.4,3.94,4.059,4.34,4.04,4.32,4.059,4.66,4.26,4.34,4.04,4.68,3.76,4.019,4.46,4.44,4.34,3.96,4.32,4.26,4.62,4.38,4.04,4.1,4.62,4.14,4.059,3.82,4.38,4.4,4.68,3.76,5.1,4.059,4.3,3.78,4.94,4.7,4.0,4.68,4.32,4.48,4.36,4.14,4.059,4.059,4.36,4.0,4.04,4.059,3.98,4.72,4.14,4.66,4.42,4.04,3.98,4.64,4.08,4.34,4.14,4.44,4.019,3.72,3.68,4.64,4.7,4.46,4.74,3.96,4.04,4.26,4.56,4.6,4.32,4.62,4.4,4.34,3.74,4.26,4.04,4.08,4.78,4.32,4.059,4.44,4.1,4.48,4.28,4.3,3.76,4.019,4.04,4.38,4.12
4.7,4.64,3.74,4.4,4.36,4.78,4.34,4.08,4.26,4.4,4.64,4.46,4.72,4.78,3.82,4.14,4.4,4.0,4.38,4.68,3.84,4.76,3.68,4.32,4.86,4.72,3.46,4.72,4.04,4.34,4.36,4.46,4.019,4.34,3.72,4.68,4.04,4.08,4.38,3.8,3.68,4.7,4.14,4.08,4.12,3.4,4.08,4.38,4.48,4.3,3.74,3.74,4.34,4.08,3.94,4.3,3.7,4.7,4.1,4.4,4.08,4.059,4.36,4.72,4.34,4.12,4.1,4.4,4.04,4.42,4.62,4.04,4.12,4.34,4.059,4.059,4.38,4.34,4.34,4.14,4.34,4.38,4.38,4.0,4.14,4.36,4.08,4.36,4.42,4.019,4.66,4.36,4.36,4.44,4.4,3.94,4.7,4.94,4.44,4.44,4.32
4.36,4.7,3.92,4.58,3.82,4.4,4.38,4.42,4.62,5.02,3.98,4.1,4.32,4.1,4.04,3.84,4.74,4.6,4.46,4.16,4.46,4.78,4.059,4.64,4.62,3.44,4.14,4.08,4.46,4.66,4.44,4.0,4.6,4.0,4.66,4.5,4.76,4.68,3.64,4.32,3.98,4.32,4.44,4.32,3.68,4.44,4.3,4.36,4.38,4.3,4.36,4.3,4.72,4.64,4.44,4.12,4.66,4.72,4.46,4.42,4.38,4.78,4.46,4.4,3.76,4.14,4.6,4.34,4.08,4.04,4.42,4.36,4.44,4.34,4.66,4.04,4.98,4.44,4.46,4.96,4.46,4.76,4.38,4.4,4.36,4.34,4.72,4.38,3.98,4.38,4.32,4.4,3.74,4.019,4.42,4.32,4.059,4.64,4.42,4.62,4.14
